time,open,high,low,close,volume
1700000000,97.4616,101.0000,96.4616,100.0000,1000.0000
1700003600,100.0000,103.5384,99.0000,102.5384,1000.0000
1700007200,102.5384,106.0079,101.5384,105.0079,1000.0000
1700010800,105.0079,108.3414,104.0079,107.3414,1000.0000
1700014400,107.3414,110.4755,106.3414,109.4755,1000.0000
1700018000,109.4755,112.3527,108.4755,111.3527,1000.0000
1700021600,111.3527,113.9221,110.3527,112.9221,1000.0000
1700025200,112.9221,115.1417,111.9221,114.1417,1000.0000
1700028800,114.1417,115.9791,113.1417,114.9791,1000.0000
1700032400,114.9791,116.4124,113.9791,115.4124,1000.0000
1700036000,115.4124,116.4311,114.4124,115.4311,1000.0000
1700039600,115.4311,116.4311,114.0360,115.0360,1000.0000
1700043200,115.0360,116.0360,113.2395,114.2395,1000.0000
1700046800,114.2395,115.2395,112.0649,113.0649,1000.0000
1700050400,113.0649,114.0649,110.5463,111.5463,1000.0000
1700054000,111.5463,112.5463,108.7271,109.7271,1000.0000
1700057600,109.7271,110.7271,106.6591,107.6591,1000.0000
1700061200,107.6591,108.6591,104.4010,105.4010,1000.0000
1700064800,105.4010,106.4010,102.0168,103.0168,1000.0000
1700068400,103.0168,104.0168,99.5739,100.5739,1000.0000
1700072000,100.5739,101.5739,97.1415,98.1415,1000.0000
1700075600,98.1415,99.1415,94.7883,95.7883,1000.0000
1700079200,95.7883,96.7883,92.5808,93.5808,1000.0000
1700082800,93.5808,94.5808,90.5818,91.5818,1000.0000
1700086400,91.5818,92.5818,88.8480,89.8480,1000.0000
1700090000,89.8480,90.8480,87.4287,88.4287,1000.0000
1700093600,88.4287,89.4287,86.3648,87.3648,1000.0000
1700097200,87.3648,88.3648,85.6870,86.6870,1000.0000
1700100800,86.6870,87.6870,85.4157,86.4157,1000.0000
1700104400,86.4157,87.5596,85.4157,86.5596,1000.0000
1700108000,86.5596,88.1161,85.5596,87.1161,1000.0000
1700111600,87.1161,89.0713,86.1161,88.0713,1000.0000
1700115200,88.0713,90.4001,87.0713,89.4001,1000.0000
1700118800,89.4001,92.0669,88.4001,91.0669,1000.0000
1700122400,91.0669,94.0270,90.0669,93.0270,1000.0000
1700126000,93.0270,96.2275,92.0270,95.2275,1000.0000
1700129600,95.2275,98.6088,94.2275,97.6088,1000.0000
1700133200,97.6088,101.1062,96.6088,100.1062,1000.0000
1700136800,100.1062,103.6519,99.1062,102.6519,1000.0000
1700140400,102.6519,106.1768,101.6519,105.1768,1000.0000
