time,open,high,low,close,volume
1700000000,192.881414,201.000000,191.881414,200.000000,1000.000000
1700003600,200.000000,208.118586,199.000000,207.118586,1000.000000
1700007200,207.118586,215.092143,206.118586,214.092143,1000.000000
1700010800,214.092143,221.778593,213.092143,220.778593,1000.000000
1700014400,220.778593,228.041711,219.778593,227.041711,1000.000000
1700018000,227.041711,233.753895,226.041711,232.753895,1000.000000
1700021600,232.753895,238.798768,231.753895,237.798768,1000.000000
1700025200,237.798768,243.073549,236.798768,242.073549,1000.000000
1700028800,242.073549,246.491146,241.073549,245.491146,1000.000000
1700032400,245.491146,248.981929,244.491146,247.981929,1000.000000
1700036000,247.981929,250.495154,246.981929,249.495154,1000.000000
1700039600,249.495154,250.999990,248.495154,249.999990,1000.000000
1700043200,249.999990,250.999990,248.486152,249.486152,1000.000000
1700046800,249.486152,250.486152,246.964110,247.964110,1000.000000
1700050400,247.964110,248.964110,244.464871,245.464871,1000.000000
1700054000,245.464871,246.464871,241.039355,242.039355,1000.000000
1700057600,242.039355,243.039355,236.757351,237.757351,1000.000000
1700061200,237.757351,238.757351,231.706099,232.706099,1000.000000
1700064800,232.706099,233.706099,225.988509,226.988509,1000.000000
1700068400,226.988509,227.988509,219.721070,220.721070,1000.000000
1700072000,220.721070,221.721070,213.031470,214.031470,1000.000000
1700075600,214.031470,215.031470,206.056000,207.056000,1000.000000
1700079200,207.056000,208.056000,198.936776,199.936776,1000.000000
1700082800,199.936776,200.936776,191.818839,192.818839,1000.000000
1700086400,192.818839,193.818839,184.847207,185.847207,1000.000000
1700090000,185.847207,186.847207,178.163917,179.163917,1000.000000
1700093600,179.163917,180.163917,171.905131,172.905131,1000.000000
1700097200,172.905131,173.905131,166.198361,167.198361,1000.000000
1700100800,167.198361,168.198361,161.159875,162.159875,1000.000000
1700104400,162.159875,163.159875,156.892324,157.892324,1000.000000
1700108000,157.892324,158.892324,153.482653,154.482653,1000.000000
1700111600,154.482653,155.482653,151.000328,152.000328,1000.000000
1700115200,152.000328,153.000328,149.495924,150.495924,1000.000000
1700118800,150.495924,151.495924,149.000090,150.000090,1000.000000
1700122400,150.000090,151.522928,149.000090,150.522928,1000.000000
1700126000,150.522928,153.053786,149.522928,152.053786,1000.000000
1700129600,152.053786,155.561476,151.053786,154.561476,1000.000000
1700133200,154.561476,158.994906,153.561476,157.994906,1000.000000
1700136800,157.994906,163.284126,156.994906,162.284126,1000.000000
1700140400,162.284126,168.341750,161.284126,167.341750,1000.000000
1700144000,167.341750,174.064736,166.341750,173.064736,1000.000000
1700147600,173.064736,180.336487,172.064736,179.336487,1000.000000
1700151200,179.336487,187.029225,178.336487,186.029225,1000.000000
1700154800,186.029225,194.006597,185.029225,193.006597,1000.000000
1700158400,193.006597,201.126449,192.006597,200.126449,1000.000000
1700162000,200.126449,208.243724,199.126449,207.243724,1000.000000
1700165600,207.243724,215.213420,206.243724,214.213420,1000.000000
1700169200,214.213420,221.893539,213.213420,220.893539,1000.000000
1700172800,220.893539,228.147984,219.893539,227.147984,1000.000000
1700176400,227.147984,233.849330,226.147984,232.849330,1000.000000
1700180000,232.849330,238.881421,231.849330,237.881421,1000.000000
1700183600,237.881421,243.141735,236.881421,242.141735,1000.000000
1700187200,242.141735,246.543476,241.141735,245.543476,1000.000000
1700190800,245.543476,249.017338,244.543476,248.017338,1000.000000
1700194400,248.017338,250.512919,247.017338,249.512919,1000.000000
1700198000,249.512919,250.999750,248.512919,249.999750,1000.000000
1700201600,249.999750,250.999750,248.467912,249.467912,1000.000000
1700205200,249.467912,250.467912,246.928241,247.928241,1000.000000
1700208800,247.928241,248.928241,244.412105,245.412105,1000.000000
1700212400,245.412105,246.412105,240.970766,241.970766,1000.000000
1700216000,241.970766,242.970766,236.674336,237.674336,1000.000000
1700219600,237.674336,238.674336,231.610350,232.610350,1000.000000
1700223200,232.610350,233.610350,225.881977,226.881977,1000.000000
1700226800,226.881977,227.881977,219.605924,220.605924,1000.000000
1700230400,220.605924,221.605924,212.910058,213.910058,1000.000000
1700234000,213.910058,214.910058,205.930794,206.930794,1000.000000
1700237600,206.930794,207.930794,198.810327,199.810327,1000.000000
1700241200,199.810327,200.810327,191.693724,192.693724,1000.000000
1700244800,192.693724,193.693724,184.725975,185.725975,1000.000000
1700248400,185.725975,186.725975,178.049038,179.049038,1000.000000
1700252000,179.049038,180.049038,171.798944,172.798944,1000.000000
1700255600,172.798944,173.798944,166.103031,167.103031,1000.000000
1700259200,167.103031,168.103031,161.077344,162.077344,1000.000000
1700262800,162.077344,163.077344,156.824273,157.824273,1000.000000
1700266400,157.824273,158.824273,153.430468,154.430468,1000.000000
1700270000,154.430468,155.430468,150.965073,151.965073,1000.000000
1700273600,151.965073,152.965073,149.478317,150.478317,1000.000000
1700277200,150.478317,151.478317,149.000490,150.000490,1000.000000
1700280800,150.000490,151.541326,149.000490,150.541326,1000.000000
1700284400,150.541326,153.089808,149.541326,152.089808,1000.000000
1700288000,152.089808,155.614388,151.089808,154.614388,1000.000000
1700291600,154.614388,159.063630,153.614388,158.063630,1000.000000
